materials property curl diameter pitch
sample665 1.829306215 0.897597901 20 140
sample666 1.716885943 1.346396852 20 140
sample667 1.70332981 2.243994753 20 140
sample668 1.614747903 2.692793703 20 140
sample669 1.704817997 0.897597901 30 140
sample670 1.384467524 1.346396852 30 140
sample671 1.559470759 1.795195802 30 140
sample672 1.598350679 2.243994753 30 140
sample673 1.588975409 2.692793703 30 140
sample674 1.455863966 1.346396852 30 140
sample675 1.612188038 1.795195802 30 140
sample676 1.593758118 2.692793703 30 140
sample677 1.21427237 1.346396852 40 140
sample678 1.409107424 1.795195802 40 140
sample679 1.477573347 2.692793703 40 140
sample680 1.328367061 1.346396852 40 140
sample681 1.542296277 2.243994753 40 140
sample682 1.528148722 2.692793703 40 140
sample683 1.377580373 2.243994753 50 140
sample684 1.06805173 0.897597901 50 140
sample685 1.256877298 1.346396852 50 140
sample686 1.477432269 2.243994753 50 140
sample687 1.470776381 2.692793703 50 140
sample688 0.938672587 1.346396852 60 140
sample689 1.06719773 1.795195802 60 140
sample690 0.575754711 2.243994753 60 140
sample691 0.440068667 2.692793703 60 140
sample692 0.648628335 0.897597901 60 140
sample693 0.853283275 1.346396852 60 140
sample694 1.669590912 0.785398163 20 160
sample695 1.727699236 1.178097245 20 160
sample696 1.771474347 1.570796327 20 160
